estado,integridad_nodo,ruta,ecosistema,municipio,nomenclatura_nodo,labeled,ecosistema_str,coord_longitud,cumulo,estado_str,fecha_foto,coord_latitud,ultima_modificacion,id,municipio_str
Campeche,Degradado,13/3_13_0_1399/HLPXGM09048507/2021-08-05/images_videos/843f031b386536ce421735540afcfb60_0052.JPG,Selvas humedas,Palizada,3_13_0_1399,true,Selvas humedas,-91.9802,13,Campeche,2021-08-19T10:02:18Z,18.0886,2023-04-01T03:24:38.568Z,a4d0d5b3-5436-47e8-b992-9be8ae9b0bea,Palizada
Campeche,Degradado,13/3_13_0_1399/HLPXGM09048507/2021-08-05/images_videos/4588f5b0cbdfbe60e9cae8aa6c205b92_0053.JPG,Selvas humedas,Palizada,3_13_0_1399,true,Selvas humedas,-91.9802,13,Campeche,2021-08-19T10:02:20Z,18.0886,2023-04-01T03:24:38.488Z,92c6aa0b-a302-46c7-b53c-4df75179ed0a,Palizada
Campeche,Degradado,13/3_13_0_1399/HLPXGM09048483/2021-08-05/images_videos/cf2776be08ee7af4a393c4bf22694e3c_0136.JPG,Selvas humedas,Palizada,3_13_0_1399,true,Selvas humedas,-91.978,13,Campeche,2021-08-19T10:49:01Z,18.0967,2023-04-01T03:24:37.238Z,d413f4c1-ff34-4507-a5ff-f5ce67db9051,Palizada
Chiapas,Integro,92/3_92_1_1338/HLPXGM09048594/2021-07-28/images_videos/31b2ed11218b71126ccfb20f298f0e12_0029.JPG,Selvas humedas,Ocosingo,3_92_1_1338,true,Selvas humedas,-90.9048,92,Chiapas,2021-08-19T08:44:29Z,16.1693,2023-04-01T03:25:14.031Z,d6535136-4742-42f1-83d7-7e8ed47c0699,Ocosingo
Chiapas,Integro,92/3_92_1_1338/HLPXGM09048594/2021-07-28/images_videos/a6241d9df391279277689dfa409f0e46_0028.JPG,Selvas humedas,Ocosingo,3_92_1_1338,true,Selvas humedas,-90.9048,92,Chiapas,2021-08-19T08:44:28Z,16.1693,2023-04-01T03:25:14.134Z,2bb655b5-b2f2-4cf2-93fb-b86f89911760,Ocosingo
Sonora,Integro,95/1_95_1_1350/HLPXGM09048975/2021-08-04/images_videos/64625f228204a1d06f2a7e19fa655ce1_0434.JPG,Bosques templados,Municipio de Agua Prieta,1_95_1_1350,true,Bosques templados,-108.94,95,Sonora,2021-08-19T10:52:14Z,31.1927,2023-04-01T03:29:22.136Z,55f88b1c-c05b-4d20-a15a-3549f6c6daa7,Municipio de Agua Prieta
Campeche,Degradado,13/3_13_0_1399/HLPXGM09048483/2021-08-05/images_videos/509d6cb601d940ec70e7a04bd8a01e38_0137.JPG,Selvas humedas,Palizada,3_13_0_1399,true,Selvas humedas,-91.978,13,Campeche,2021-08-19T10:49:16Z,18.0967,2023-04-01T03:24:36.892Z,7569a72b-c890-42b6-9e93-b113fd8e62f7,Palizada
Campeche,Degradado,13/3_13_0_1399/HLPXGM09048483/2021-08-05/images_videos/23b18351a05b53b14f13a09e19582d1f_0139.JPG,Selvas humedas,Palizada,3_13_0_1399,true,Selvas humedas,-91.978,13,Campeche,2021-08-19T10:56:47Z,18.0967,2023-04-01T03:24:36.882Z,e8609dc8-2135-453c-87f9-42eac935dec2,Palizada
Campeche,Degradado,13/3_13_0_1399/HLPXGM09048483/2021-08-05/images_videos/53524413890141520038df6b0a9d3e48_0145.JPG,Selvas humedas,Palizada,3_13_0_1399,true,Selvas humedas,-91.978,13,Campeche,2021-08-19T10:58:46Z,18.0967,2023-04-01T03:24:37.042Z,d104e919-3bad-4103-98e3-97fb43231ca4,Palizada
Campeche,Degradado,13/3_13_0_1399/HLPXGM09048483/2021-08-05/images_videos/048ed7d7591d9a0200a9686f77f8caad_0149.JPG,Selvas humedas,Palizada,3_13_0_1399,true,Selvas humedas,-91.978,13,Campeche,2021-08-19T10:59:52Z,18.0967,2023-04-01T03:24:37.072Z,8da48f33-3c4b-4978-a46a-5b672cb5886f,Palizada
Campeche,Degradado,13/3_13_0_1399/HLPXGM09048483/2021-08-05/images_videos/9a49a54ab30b8c9a1f45ba6eb2df6c14_0146.JPG,Selvas humedas,Palizada,3_13_0_1399,true,Selvas humedas,-91.978,13,Campeche,2021-08-19T10:59:01Z,18.0967,2023-04-01T03:24:37.333Z,38744c1a-7e3c-4ddc-9d12-1be087cd238c,Palizada
Campeche,Degradado,13/3_13_0_1399/HLPXGM09048483/2021-08-05/images_videos/fff0ab7bc657f39339b500d048a16cd2_0148.JPG,Selvas humedas,Palizada,3_13_0_1399,true,Selvas humedas,-91.978,13,Campeche,2021-08-19T10:59:37Z,18.0967,2023-04-01T03:24:37.408Z,2d138f61-6595-4da6-804c-173f65de0072,Palizada
